customer_value_brand,customer_type,total_customers,total_revenue,total_orders,total_items,average_revenue,average_orders,average_items,customer_pct_within_band
low value,one-time customer,23873,697287.83,23873,25015,29.208219746156743,1.0,1.047836467976375,99.53719146097399
low value,repeat customer,111,3930.5499999999997,227,232,35.41036036036036,2.045045045045045,2.09009009009009,0.4628085390260174
medium-low value,one-time customer,24488,1633856.91,24488,26569,66.72071667755635,1.0,1.0849803985625612,98.46797217419278
medium-low value,repeat customer,381,26844.91,777,834,70.4590813648294,2.0393700787401574,2.188976377952756,1.53202782580723
medium-high value,one-time customer,22044,2633356.82,22044,25223,119.45911903465795,1.0,1.1442115768463075,96.9776956579121
medium-high value,repeat customer,687,83507.01,1408,1582,121.55314410480348,2.049490538573508,2.3027656477438136,3.0223043420878977
high value,one-time customer,22102,7863850.28,22102,28360,355.7981304859289,1.0,1.2831417971224324,92.72528947810035
high value,repeat customer,1734,649009.39,3747,4835,374.284538638985,2.160899653979239,2.7883506343713957,7.274710521899648
