customer_value_brand,total_customers,total_revenue,total_orders,total_items,customers_pct,revenue_pct,orders_pct,average_revenue,average_orders,average_items
low value,23984,701218.38,24100,25247,25.135191783693145,5.159187479289205,24.42584071513997,29.236923782521682,1.0048365577051368,1.0526601067378252
medium-low value,24869,1660701.82,25265,27403,26.062670299727518,12.218550284687055,25.606591936432004,66.77798946479552,1.0159234388194138,1.101893924162612
medium-high value,22731,2716863.83,23452,26805,23.822049884720183,19.989221980561485,23.769079520807573,119.52240684527737,1.0317187981171088,1.1792266068364787
high value,23836,8512859.67,25849,33195,24.98008803185915,62.633040255462255,26.198487827620458,357.1429631649606,1.0844520892767242,1.392641382782346
